Ballad of Enchantment,Unlocked at the Ardougne Monastery,,3:27,Play track
Ballad of the Basilisk,Unlocked during The Fremennik Exiles,,4:02,Play track
Bandit Camp,Unlocked at the Bandit Camp in the Kharidian Desert,,3:00,Play track
Bandos Battalion,Unlocked in the God Wars Dungeon,,3:10,Play track
Bane,Unlocked in the Corporeal Beast boss room,,8:20,Play track
The Bane of Ashihama,Unlocked during the fight with The Nightmare,,5:39,Play track
Barb Wire,"Unlocked north of Baxtorian Falls, in the Ancient Cavern",,3:32,Play track
Barbarian Workout,Unlocked during the Below Ice Mountain  quest,,2:41,Play track
Barbarianism,Unlocked at Barbarian Village,,4:33,Play track
Barking Mad,Unlocked at the Werewolf Agility Course,,2:56,Play track
Baroque,Unlocked at the Ardougne Market,,2:08,Play track
Barren Land,Unlocked during the Making Friends with My Arm  quest,,5:20,Play track
Beetle Juice,Unlocked during the Contact!  quest,,2:26,Play track
Beneath Cursed Sands,Unlocked in Nexus within the Tombs of Amascut,,5:11,Play track
Beneath the Kingdom,Unlocked in the Catacombs of Kourend,,4:48,Play track
Beneath the Stronghold,Unlocked in the Gnome Stronghold Slayer Cave,,2:49,Play track
Beyond,Unlocked in the Dwarven Tunnel under White Wolf Mountain,,2:46,Play track
Beyond the Meadow,Unlocked west of Hosidius,,3:58,Play track
Big Chords,Unlocked near the west entrance to Yanille,,2:28,Play track
Blistering Barnacles,Unlocked on the Braindeath Island Mountain,,3:57,Play track
Bloodbath,Unlocked at Slepe,,2:49,Play track
Bob's on Holiday,Unlocked during A Tail of Two Cats,,2:32,Play track
Body Parts,Unlocked in the Experiment cave south-east of Fenkenstrain's Castle,,4:40,Play track
Bone Dance,Unlocked west of Mort'ton,,3:05,Play track
Bone Dry,Unlocked in the Smoke Dungeon near Pollnivneach,,5:28,Play track
Book of Spells,Unlocked in Lumbridge,,5:30,Play track
Borderland,Unlocked east of Rellekka,,3:04,Play track
Box of Delights,Unlocked in the Mimic Chest,,2:56,Play track
Brain Battle,Unlocked during The Great Brain Robbery,,2:22,Play track
Breeze,Unlocked at Isafdar near the Underground Pass,,3:25,Play track
Brew Hoo Hoo!,Unlocked in the Port Phasmatys brewery basement,,4:18,Play track
Brimstail's Scales,Unlocked at Brimstail's cave,,3:18,Play track
Bubble and Squeak,Unlocked at the Keldagrim Rat Pits,,3:10,Play track
Bunny's Sugar Rush,Unlocked during the 2015 Easter Event,,4:08,Play track
Burning Desire,Unlocked on Mount Karuulm,,6:48,Play track
Cabin Fever,Unlocked during the Cabin Fever  quest,,2:55,Play track
Cain's Tutorial,Unlocked during the Barbarian Assault tutorial,,4:17,Play track
Camelot,Unlocked at Camelot,,2:30,Play track
Castle Wars,Unlocked while playing the Castle Wars minigame,,3:49,Play track
Catacombs and Tombs,Unlocked during Land of the Goblins,,4:26,Play track
Catch Me If You Can,Unlocked at the Ardougne Rat Pits,,3:33,Play track
Cave Background,Unlocked at the Dwarven Mine,,4:22,Play track
Cave of Beasts,Unlocked during the Mountain Daughter  quest,,5:59,Play track
Cave of the Goblins,Unlocked in the Lumbridge Swamp Caves,,4:41,Play track
Cavern,Unlocked at Yanille Agility dungeon,,3:25,Play track
The Cellar Dwellers,Unlocked at the Ardougne Sewers during the Hazeel Cult  quest,,5:10,Play track
Cellar Song,Unlocked at the vault under the Varrock West Bank,,2:16,Play track
Chain of Command,Unlocked during the Temple of Ikov  quest,,5:00,Play track
Chamber,Unlocked on the middle floor of the Haunted Mine,,4:18,Play track
Chef Surprise,Unlocked in the Lumbridge Castle Dining Hall during the Recipe for Disaster  quest,,2:36,Play track
Chickened Out,Unlocked in the Evil Chicken's Lair during the Recipe for Disaster  quest,,3:02,Play track
Chompy Hunt,Unlocked east of Feldip Hills near Rantz,,3:04,Play track
The Chosen,Unlocked during the Recruitment Drive  quest,,4:19,Play track
City of the Dead,"Unlocked in Sophanem. After the Contact! quest, it is replaced by the Back to Life music track.",,6:30,Play track
Clan Wars,"Unlocked in a Clan Wars arena. (Random between this song and Warpath, re-enter to unlock both)",,5:30,Play track
Clanliness,Unlocked in a Clan Hall,,4:48,Play track
Claustrophobia,Unlocked in the gold mine from Between a Rock...,,5:18,Play track
Close Quarters,Unlocked in the Wilderness,,3:14,Play track
Coil,Unlocked during the fight with Zulrah (Can be unlocked while spectating using fairy ring code DLR),,4:52,Play track
Competition,Unlocked in the Burthorpe Games Room,,4:57,Play track
Complication,Unlocked at the Chaos Altar,,2:49,Play track
Confrontation,Unlocked during the A Kingdom Divided  quest,,4:01,Play track
The Consortium,Unlocked during The Giant Dwarf,,4:28,Play track
Conspiracy,Unlocked during A Taste of Hope,,2:08,Play track
Contest,Unlocked while fighting Dad during Troll Stronghold,,2:39,Play track
Corporal Punishment,Unlocked in the Drill Demon random event,,4:28,Play track
Corridors of Power,Unlocked in the Subterranean Village during Royal Trouble,,5:23,Play track
Country Jig,Unlocked in Hosidius,,2:57,Play track
Courage,Unlocked in the blue dragon section of Taverley Dungeon,,4:04,Play track
Creature Cruelty,Unlocked during the Tower of Life  quest,,4:48,Play track
Creeping Vines,Unlocked in the Hespori cave in the Farming Guild,,7:19,Play track
Crest of a Wave,Unlocked automatically,,1:46,Play track
Crystal Castle,Unlocked south-east of Prifddinas,,6:03,Play track
Crystal Cave,Unlocked at Zanaris market,,3:52,Play track
Crystal Sword,Unlocked in the Wilderness,,2:49,Play track
Cursed,"Unlocked in the Underground Pass dungeon, also plays in the Wrath Altar in the Myths' Guild",,2:49,Play track
The Curtain Closes,Unlocked upon the defeat of Verzik Vitur,,7:08,Play track
Dagannoth Dawn,Unlocked in Waterbirth Island,,3:18,Play track
Dance of Death,Unlocked on the lowest floor of the Stronghold of Security,,4:45,Play track
Dance of the Meilyr,Unlocked upon entering Prifddinas,,4:51,Play track
Dance of the Nylocas,Unlocked in the Nylocas' nest in the Theatre of Blood,,5:55,Play track
Dance of the Undead,Unlocked at the Barrows,,3:59,Play track
Dangerous,Unlocked in the Wilderness,,2:13,Play track
A Dangerous Game,Unlocked upon entering the Wilderness Slayer Cave,,6:10,Play track
Dangerous Road,Unlocked under Crandor,,3:28,Play track
Dangerous Way,Unlocked in the Barrows underground,,5:32,Play track
Dark,Unlocked in the Wilderness,,2:52,Play track
The Dark Beast Sotetseg,Unlocked in Sotetseg's arena in the Theatre of Blood,,6:02,Play track
Darkly Altared,Unlocked during the fight with Skotizo,,4:44,Play track
Darkmeyer,Unlocked during the Sins of the Father  quest,,3:50,Play track
Darkness in the Depths,Unlocked in the Chasm of Fire,,5:06,Play track
Davy Jones' Locker,Unlocked in the Mogre Camp,,3:05,Play track
Dead Can Dance,Unlocked in the Wilderness. It could also be unlocked during a cutscene in the 2021 Halloween event.,,3:41,Play track
Dead Quiet,Unlocked in the north area of Mort Myre Swamp,,6:46,Play track
Deadlands,Unlocked in Haunted Woods just outside Port Phasmatys,,4:27,Play track
Deep Down,Unlocked on the bottom floor of the Abandoned Mine,,6:13,Play track
Deep Wildy,Unlocked in the Wilderness,,2:31,Play track
Delrith,Unlocked during Demon Slayer,,1:20,Play track
The Depths,Unlocked during the Contact!  quest,,5:09,Play track
Desert Heat,Unlocked near Nardah,,4:24,Play track
Desert Voyage,Unlocked near the Desert Mining Camp,,5:07,Play track
The Desert,Unlocked to the west of the Kharidian Desert,,8:51,Play track
The Desolate Isle,Unlocked on Waterbirth Island,,6:34,Play track
The Desolate Mage,Unlocked upon reaching Mount Quidamortem's summit,,6:39,Play track
Devils May Care,Unlocked in the Smoke Devil Dungeon.,,3:41,Play track
Diango's Little Helpers,Unlocked in Diango's Christmas Workshop,,3:49,Play track
Dies Irae,Unlocked during in the 2015 Halloween event,,5:26,Play track
Dimension X,Unlocked in the Gorak Plane,,2:30,Play track
Distant Land,Unlocked at Burgh de Rott,,6:01,Play track
Distillery Hilarity,Unlocked during the Trouble Brewing minigame,,4:13,Play track
Dogs of War,Unlocked in the first level of the Stronghold of Security,,5:43,Play track
Dogfight,Unlocked during The General's Shadow,,1:45,Play track
Domain of the Vampyres,Unlocked during the Darkness of Hallowvale  quest,,3:40,Play track
Don't Panic Zanik,Unlocked during Land of the Goblins,,3:06,Play track
The Doors of Dinh,Unlocked at the Wintertodt Camp,,5:10,Play track
Doorways,Unlocked in an area around Varrock and on the Isle of Souls.,,2:31,Play track
Dorgeshuun City,Unlocked at Dorgesh-Kaan,,4:32,Play track
Dorgeshuun Deep,Unlocked in the Dorgesh-Kaan South Dungeon,,4:26,Play track
Dorgeshuun Treaty,Unlocked during The Lost Tribe,,1:10,Play track
Down and Out,Unlocked on Lunar Isle during the Dream Mentor  quest,,2:15,Play track
Down Below,Unlocked in the Draynor Sewers,,3:00,Play track
Down by the Docks,Unlocked in Port Piscarilius,,3:12,Play track
Down to Earth,Unlocked at the Earth Altar,,4:04,Play track
The Dragon Slayer,Unlocked during the fight with Galvek during Dragon Slayer II,,7:46,Play track
Dragontooth Island,Unlocked on Dragontooth Island,,4:59,Play track
Dream,Unlocked in Lumbridge,,2:33,Play track
Dreamstate,Unlocked in the Dream World of Lunar Diplomacy,,4:16,Play track
The Emir's Arena,Unlocked at the Emir's Arena,,3:55,Play track
Dunes of Eternity,Unlocked during Beneath Cursed Sands,,6:12,Play track
Dunjun,Unlocked in Taverley Dungeon and in the Crypt under White Knights' Castle,,2:49,Play track
Dusk in Yu'biusk,Unlocked in Yu'biusk,,4:53,Play track
Dwarf Theme,Unlocked near the entrance to the Dwarven Mine,,1:33,Play track
Dwarven Domain,Unlocked in Lovakengj,,3:13,Play track
Dynasty,Unlocked in Pollnivneach,,4:22,Play track
Eagles' Peak,Unlocked during Eagle's Peak,,4:13,Play track
Easter Jig,Unlocked during the 2014 Easter event,,3:56,Play track
Egypt,Unlocked at the Shantay Pass,,3:34,Play track
Elven Guardians,Unlocked upon entering Prifddinas,,6:15,Play track
Elven Mist,Unlocked at the exit of the Underground Pass dungeon,,3:49,Play track
Elven Seed,Unlocked in Gwenith,,4:08,Play track
Emotion,Unlocked at the Tree Gnome Maze,,3:12,Play track
Emperor,Unlocked in Rimmington,,3:59,Play track
The Enchanter,Unlocked in the Enchantment Chamber in the Mage Training Arena,,4:11,Play track
The Enclave,Unlocked in Ferox Enclave,,3:09,Play track
Escape,Unlocked in the Hellhound's cave south-east of Ardougne,,2:48,Play track
Espionage,Unlocked during the Cold War  quest,,4:00,Play track
Etceteria,Unlocked on Etceteria,,4:00,Play track
Eve's Epinette,Unlocked during the 2020 Halloween event,,5:45,Play track
Everlasting,Unlocked in the Dream World during Dream Mentor,,2:44,Play track
Everlasting Fire,Unlocked in the Wilderness,,3:48,Play track
The Everlasting Slumber,Unlocked in the Sisterhood Sanctuary,,6:16,Play track
Everywhere,Unlocked north of Prifddinas,,4:28,Play track
Evil Bob's Island,Unlocked on Evil Bob's island,,3:43,Play track
Expanse,Unlocked in an area around Varrock,,2:53,Play track
Expecting,Unlocked at the Shrine of Scorpius north of the Observatory,,3:45,Play track
Expedition,Unlocked in the Observatory Dungeon,,2:52,Play track
Exposed,Unlocked South of Tyras Camp,,4:22,Play track
Eye of the Storm,Unlocked during Dragon Slayer I,,1:25,Play track
Faerie,Unlocked at Zanaris,,2:51,Play track
The Fairy Dragon,Unlocked during Recipe for Disaster,,1:50,Play track
Faith of the Hefin,Unlocked upon entering Prifddinas,,6:26,Play track
Faithless,Unlocked in the Wilderness,,3:16,Play track
Fanfare,Unlocked in Falador,,2:23,Play track
Fanfare 2,Unlocked in the Karamja Ship Yard,,1:57,Play track
Fanfare 3,Unlocked in Port Khazard,,4:24,Play track
Fangs for the Memory,Unlocked during In Aid of the Myreque,,3:21,Play track
Far Away,Unlocked during Mourning's End Part I,,4:34,Play track
The Far Side,Unlocked deep within the Rogues' Den maze,,3:55,Play track
A Farmer's Grind,Unlocked in the west wing of the Farming Guild,,4:59,Play track
The Fat Lady Sings,Unlocked during the battle with Verzik Vitur,,6:50,Play track
Fe Fi Fo Fum,Unlocked top of the beanstalk during Grim Tales,,3:12,Play track
Fear and Loathing,Unlocked in Tolna's rift,,5:02,Play track
Fenkenstrain's Refrain,Unlocked at Fenkenstrain's Castle,,4:08,Play track
A Festive Party,Unlocked during the 2021 Christmas event,,3:24,Play track
Fight of the Basilisk,Unlocked during The Fremennik Exiles,,5:18,Play track
Fight or Flight,Unlocked in a slave mine below West Ardougne during Mourning's End Part I,,4:26,Play track
Find My Way,Unlocked at the Ape Atoll Dungeon,,4:10,Play track
Fire and Brimstone,Unlocked in the TzHaar Fight Pit,,4:20,Play track
Fire in the Deep,Unlocked during the battle with the Great Olm in the Chambers of Xeric,,6:22,Play track
The Fires of Lletya,Unlocked during Song of the Elves,,5:09,Play track
Fishing,Unlocked at Catherby,,3:08,Play track
Floating Free,Unlocked at Entrana during Enlightened Journey,,3:18,Play track
Flute Salad,Unlocked in Lumbridge,,1:55,Play track
Food for Thought,Unlocked in the Famine floor of the Stronghold of Security,,4:36,Play track
Forbidden,Unlocked in the Wilderness,,3:53,Play track
Forest,Unlocked north-east of Poison Waste,,4:11,Play track
The Forests of Shayzien,Unlocked west of Shayzien,,3:20,Play track
Forever,Unlocked in Edgeville,,3:39,Play track
Forgettable Melody,Unlocked during Forgettable Tale...,,3:54,Play track
Forgotten,Unlocked in Uzer,,5:07,Play track
A Forgotten Religion,Unlocked in the Forthos Dungeon,,6:28,Play track
The Forgotten Tomb,Unlocked during Beneath Cursed Sands,,5:18,Play track
The Forlorn Homestead,Unlocked near the magic trees in Hosidius,,6:05,Play track
The Forsaken Tower,Unlocked in The Forsaken Tower,,5:05,Play track
The Forsaken,Unlocked in the Lithkren Vault,,5:37,Play track
Fossilised,Unlocked within the Wyvern Cave on Fossil Island,,3:41,Play track
The Foundry,This track unlocks during the Sleeping Giants quest.,,4:58,Play track
The Fragment,Unlocked while fighting the Fragment of Seren during Song of the Elves,,4:40,Play track
The Fremennik Kings,This track unlocks during The Fremennik Isles quest,,2:59,Play track
Frogland,Unlocked automatically (previously unlocked by refusing to help in the Kiss the frog random event),,2:05,Play track
Frostbite,Unlocked during Desert Treasure,,5:26,Play track
Fruits de Mer,Unlocked at the Fishing Platform,,5:27,Play track
Ful to the Brim,Unlocked in the middle level of the Karuulm Slayer Dungeon,,4:32,Play track
Funny Bunnies,Unlocked at any Easter event after 2013,,3:36,Play track
The Galleon,Unlocked during the Lunar Diplomacy  quest,,3:52,Play track
Gaol,Unlocked in Gu'Tanoth,,1:54,Play track
Garden,Unlocked in Varrock,,2:42,Play track
Garden of Autumn,Unlocked in the Sorceress' Garden minigame,,3:28,Play track
Garden of Spring,Unlocked in the Sorceress' Garden minigame,,3:00,Play track
Garden of Summer,Unlocked in the Sorceress' Garden minigame,,3:00,Play track
Garden of Winter,Unlocked in the Sorceress' Garden minigame,,3:28,Play track
The Gates of Menaphos,Unlocked during Contact!,,1:44,Play track
The Gauntlet,Unlocked while in The Gauntlet,,10:29,Play track
The Genie,Unlocked in Genie's cave during the Spirits of the Elid  quest,,4:22,Play track
Getting Down to Business,Unlocked east of the Farming Guild.,,3:50,Play track
Gill Bill,Unlocked on Molch Island,,6:35,Play track
Gnome King,Unlocked in the Tree Gnome Stronghold,,2:22,Play track
Gnome Village,Unlocked in the Tree Gnome Stronghold,,1:22,Play track
Gnome Village 2,Unlocked in the Tree Gnome Stronghold,,4:42,Play track
Gnome Village Party,Unlocked automatically,,3:18,Play track
Gnomeball,Unlocked during the Gnome Ball minigame,,2:31,Play track
Goblin Game,Unlocked in the Goblin Cave,,3:44,Play track
Goblin Village,Unlocked in the Goblin Village,,1:35,Play track
Golden Touch,Unlocked in the Alchemist Chamber in the Mage Training Arena,,4:02,Play track
The Golem,Unlocked in the Ruins of Uzer,,5:25,Play track
Greatness,Unlocked at an area around Varrock,,3:43,Play track
Grimly Fiendish,Unlocked during the 2014 Halloween event,,2:27,Play track
Grip of the Talon,Unlocked during the Shadow of the Storm  quest,,2:50,Play track
Grotto,Unlocked in the Nature Grotto,,4:04,Play track
Grow Grow Grow,Unlocked in the north wing of the Farming Guild,,5:46,Play track
Grumpy,Unlocked at the Feldip Hills and Corsair Cove Dungeon,,2:22,Play track
Guardians of the Rift,Unlocked during the Temple of the Eye  quest,,5:21,Play track
The Guardians Prepare,Unlocked during the Temple of the Eye  quest,,1:16,Play track
H.A.M. and Seek,Unlocked during the Another Slice of H.A.M.  quest,,4:03,Play track
H.A.M. Attack,Unlocked during the Another Slice of H.A.M.  quest,,4:34,Play track
H.A.M. Fisted,Unlocked during the Death to the Dorgeshuun  quest,,4:04,Play track
Harmony,Unlocked in the Lumbridge,,3:37,Play track
Harmony 2,Unlocked at the Lumbridge Castle cellar,,4:18,Play track
Haunted Mine,Unlocked in the boss fight during the Haunted Mine  quest,,3:17,Play track
Have a Blast,Unlocked during the Blast Furnace minigame,,4:30,Play track
Have an Ice Day,Unlocked during the Cold War  quest,,4:50,Play track
Head to Head,Unlocked during Evil Twin random event,,3:23,Play track
Heart and Mind,Unlocked at the Body Altar,,3:31,Play track
Hells Bells,Unlocked during the Troll Romance  quest,,3:29,Play track
Hermit,Unlocked in Saba's cave north-west of Burthorpe,,1:46,Play track
High Seas,Unlocked in Brimhaven,,4:35,Play track
High Spirits,Unlocked during the Halloween event in Draynor Village,,3:40,Play track
Hoe Down,Unlocked upon entering the Farming Guild,,3:31,Play track
Home Sweet Home,Unlocked inside a Player-owned house,,5:21,Play track
Horizon,Unlocked in Taverley or during Beekeeper random event,,3:25,Play track
The Houses of Kourend,Unlocked during the A Kingdom Divided  quest,,2:32,Play track
Hypnotised,Unlocked while hypnotised during the Icthlarin's Little Helper  quest,,4:46,Play track
Iban,Unlocked at Lord Iban's Lair,,3:26,Play track
Ice and Fire,Unlocked in the Wintertodt's prison,,3:24,Play track
Ice Melody,Unlocked at White Wolf Mountain,,2:17,Play track
Illusive,"Unlocked in Dream World during Dream Mentor , also could be unlocked during the 2021 Halloween event",,4:08,Play track
Impetuous,Unlocked in Puro-Puro,,3:21,Play track
Impulses,Unlocked near a crop circle to Puro-Puro,,5:48,Play track
In Between,Unlocked in Arzinian Mine,,4:55,Play track
In the Brine,Unlocked in Mos Le'Harmless,,3:26,Play track
In the Clink,Unlocked in the Prison Pete Random event,,3:56,Play track
In the Manor,Unlocked south of Yanille,,1:32,Play track
In the Pits,Unlocked in the outer area of Mor Ul Rek,,4:04,Play track
Inadequacy,Unlocked during Dream Mentor,,3:31,Play track
Incantation,Unlocked during the Shadow of the Storm  quest,,5:40,Play track
Inferno,Unlocked in the Inferno,,4:57,Play track
Insect Queen,Unlocked in Kalphite Lair,,4:14,Play track
Inspiration,Unlocked in the Wilderness,,5:41,Play track
Into the Abyss,Unlocked in the Abyss,,4:30,Play track
Into the Tombs,Unlocked in the Tombs of Amascut raid lobby,,7:15,Play track
Intrepid,Unlocked in Underground Pass (dungeon),,1:56,Play track
Invader,Unlocked in the Abyssal Sire's chamber within the Abyssal Nexus,,6:37,Play track
Iorwerth's Lament,Unlocked upon entering Prifddinas,,6:57,Play track
Island Life,Unlocked in Ape Atoll,,3:41,Play track
Island of the Trolls,Unlocked north of Neitiznot and Jatizso,,4:28,Play track
Isle of Everywhere,Unlocked in the East coast of Lunar Isle,,2:46,Play track
It's not over 'til...,Unlocked in Verzik Vitur's throne room,,4:19,Play track
Itsy Bitsy...,Unlocked in the Morytania Spider Nest,,4:40,Play track
Jaws of the Basilisk,Unlocked during The Fremennik Exiles,,5:00,Play track
Jaws of Gluttony,Unlocked during the battle with Zebak in the Tombs of Amascut,,5:39,Play track
Jester Minute,Unlocked during Fremennik Isles,,3:23,Play track
Jolly R,Unlocked at the northern dock in Brimhaven,,1:40,Play track
Joy of the Hunt,Unlocked at the Feldip Hunter area,,3:50,Play track
Judgement of the Depths,Unlocked during the A Kingdom Divided  quest,,6:04,Play track
Jungle Bells,Unlocked during Christmas events,,3:50,Play track
Jungle Hunt,Unlocked at the Feldip Hunter area and Myths' Guild,,4:20,Play track
Jungle Island,Unlocked at Musa Point,,3:01,Play track
Jungle Island Xmas,Unlocked during Christmas events,,3:01,Play track
Jungle Troubles,Unlocked near the Jogres north of Tai Bwo Wannai,,3:51,Play track
Jungly 1,Unlocked in Karamja,,2:41,Play track
Jungly 2,Unlocked in Karamja,,2:17,Play track
Jungly 3,Unlocked in Karamja,,1:20,Play track
Kanon of Kahlith,Unlocked in the upper level of the Karuulm Slayer Dungeon,,6:27,Play track
Karamja Jam,Unlocked in the Brimhaven Dungeon,,3:48,Play track
King of the Trolls,Unlocked during The Fremennik Isles,,2:09,Play track
Kingdom,Unlocked at the Death Plateau,,5:19,Play track
Knightly,Unlocked in the East Ardougne Castle,,2:25,Play track
Knightmare,Unlocked at the Black Knight's[sic] Fortress,,3:04,Play track
Kourend the Magnificent,Unlocked upon arrival to Port Piscarilius,,4:48,Play track
La Mort,Unlocked at the Death Altar,,5:48,Play track
Labyrinth,Unlocked in the Sophanem Dungeon,,3:56,Play track
Lagoon,Unlocked underwater beneath Fossil Island,,4:40,Play track
Laid to Rest,Unlocked in the burial chamber within the Tombs of Amascut,,5:39,Play track
Lair,Unlocked in the Shade Catacombs,,5:02,Play track
Lair of the Basilisk,Unlocked during The Fremennik Exiles,,4:28,Play track
Lament,Unlocked in Enakhra's Temple,,4:49,Play track
Lament for the Hallowed,Unlocked in Icyene Graveyard,,6:49,Play track
Lament of Meiyerditch,Unlocked during the Darkness of Hallowvale  quest,,5:43,Play track
Land Down Under,Unlocked in the caves under Miscellania,,3:14,Play track
Land of Snow,Unlocked during the 2017 Christmas event,,2:41,Play track
Land of the Dwarves,Unlocked in the west side of Keldagrim,,4:38,Play track
Landlubber,Unlocked west of Brimhaven,,4:00,Play track
Last King of the Yarasa,Unlocked during the fight with Xarpus,,7:03,Play track
Last Man Standing,Unlocked in a Last Man Standing game,,6:06,Play track
The Last Shanty,Unlocked in Meiyerditch,,4:00,Play track
Last Stand,Unlocked during Swan Song  quest,,1:57,Play track
Lasting,Unlocked at Hemenster,,3:36,Play track
Lava is Mine,Unlocked inside the Volcanic Mine on Fossil Island,,3:59,Play track
Legend,Unlocked in Rellekka,,4:40,Play track
Legion,Unlocked at the Barbarian Outpost,,4:08,Play track
Life's a Beach!,Unlocked south Mos Le'Harmless,,4:39,Play track
Lighthouse,Unlocked at the Lighthouse,,4:45,Play track
Lightness,Unlocked north of Falador,,4:29,Play track
Lightwalk,Unlocked at Keep Le Faye,,3:03,Play track
Little Cave of Horrors,Unlocked at the Mos Le'Harmless Cave,,2:56,Play track
Lonesome,Unlocked at the Desert Mining Camp,,3:50,Play track
Long Ago,Unlocked at Hazelmere's island,,2:10,Play track
Long Way Home,Unlocked south of Falador,,2:05,Play track
Look to the Stars,Unlocked during the Observatory Quest,,2:07,Play track
Looking Back,Unlocked in the Varrock Museum,,3:23,Play track
Lore and Order,Unlocked during King's Ransom,,2:50,Play track
The Lost Melody,Unlocked in the Dorgesh-Kaan mine after Death to the Dorgeshuun,,3:30,Play track
Lost Soul,Unlocked in Poison Waste,,3:24,Play track
The Lost Tribe,Unlocked in the Dorgesh-Kaan mine,,3:30,Play track
Lower Depths,Unlocked in the second sub-level of the Chambers of Xeric,,7:43,Play track
Lucid Dream,Unlocked while in Bob's Dream World,,3:19,Play track
Lucid Nightmare,Unlocked during the fight with Robert the Strong,,2:34,Play track
Lullaby,Unlocked south-west of Rellekka,,3:30,Play track
Lumbering,Unlocked during the Making Friends with My Arm  quest,,6:16,Play track
The Lunar Isle,Unlocked in Lunar Isle,,3:37,Play track
Mad Eadgar,Unlocked in Mad Eadgar's cave,,3:42,Play track
The Mad Mole,Unlocked at the Mole Lair,,3:39,Play track
Mage Arena,Unlocked at the Mage Arena,,4:42,Play track
Magic Dance,Unlocked in Yanille,,3:48,Play track
"Magic, Magic, Magic",Unlocked during Tower of Life,,4:49,Play track
Magical Journey,Unlocked in Sorcerer's Tower,,3:39,Play track
The Maiden's Anger,Unlocked during the fight with The Maiden of Sugadinti,,6:50,Play track
The Maiden's Sorrow,Unlocked in The Maiden of Sugadinti's arena in the Theatre of Blood,,8:51,Play track
Major Miner,Unlocked in the Jatizso mine,,3:38,Play track
Making Waves,Unlocked at the Piscatoris Fishing Colony,,3:23,Play track
Malady,Unlocked in the Pestilence floor of the Stronghold of Security,,4:35,Play track
March,Unlocked at the Combat Training Camp,,1:52,Play track
March of the Shayzien,Unlocked at the Shayziens' Wall,,4:37,Play track
Marooned,Unlocked in Crash Island,,3:17,Play track
Marzipan,Unlocked in Trollheim Cave,,3:44,Play track
Masquerade,Unlocked in the Fremennik Slayer Dungeon,,3:26,Play track
Mastermindless,Unlocked during Recipe for Disaster  quest,,4:00,Play track
Mausoleum,Unlocked at Paterdomus,,5:21,Play track
"Maws, Jaws & Claws",Unlocked during the fight with Cerberus in its lair,,5:40,Play track
